Country,Year,Air_connectivity_proxy,Exchange_Rate,GDP_per_capita,Inflation,Trade,StringencyIndex,Tourism_Receipts,Air_connectivity_proxy_log,GDP_per_capita_log,Tourism_Receipts_log
Brazil,2014,937437,2.35,12274.99,6.33,24.69,0.0,7.4,13.75,9.42,2.13
Brazil,2015,944557,3.33,8936.2,9.03,26.95,0.0,6.3,13.76,9.1,1.99
Brazil,2016,826943,3.49,8836.29,8.74,24.53,0.0,6.6,13.63,9.09,2.03
Brazil,2017,803846,3.19,10080.51,3.45,24.32,0.0,6.2,13.6,9.22,1.97
Brazil,2018,832683,3.65,9300.66,3.66,28.88,0.0,6.3,13.63,9.14,1.99
Brazil,2019,814301,3.94,9029.83,3.73,28.89,0.0,6.1,13.61,9.11,1.96
Brazil,2020,393769,5.16,7074.19,3.21,32.3,64.8,3.1,12.88,8.86,1.41
Brazil,2021,529115,5.39,7972.54,8.3,37.66,66.2,2.9,13.18,8.98,1.36
Brazil,2022,723961,5.16,9281.33,9.28,38.82,38.9,5.0,13.49,9.14,1.79
Brazil,2023,791523,4.99,10377.59,4.59,33.67,0.0,6.9,13.58,9.25,2.07
Brazil,2024,791523,5.39,10310.55,4.37,35.58,0.0,7.3,13.58,9.24,2.12
Colombia,2014,349864,2001.1,8187.21,2.9,37.49,0.0,4.9,12.77,9.01,1.77
Colombia,2015,368947,2741.78,6248.51,4.99,38.36,0.0,5.3,12.82,8.74,1.84
Colombia,2016,366188,3055.26,5959.84,7.51,36.2,0.0,5.6,12.81,8.69,1.89
Colombia,2017,355039,2951.49,6479.53,4.31,35.28,0.0,5.9,12.78,8.78,1.93
Colombia,2018,358874,2955.7,6816.97,3.24,36.53,0.0,6.7,12.79,8.83,2.04
Colombia,2019,371985,3281.62,6472.55,3.52,37.56,0.0,6.8,12.83,8.78,2.05
Colombia,2020,139029,3693.28,5339.69,2.53,34.06,69.4,2.0,11.84,8.58,1.1
Colombia,2021,273874,3744.24,6222.62,3.5,40.06,62.1,2.7,12.52,8.74,1.31
Colombia,2022,481253,4256.19,6680.45,10.18,48.28,31.2,6.2,13.08,8.81,1.97
Colombia,2023,373147,4325.96,7000.84,11.74,40.39,0.0,7.6,12.83,8.85,2.15
Colombia,2024,373147,4074.43,7919.21,6.61,37.03,0.0,8.7,12.83,8.98,2.27
Egypt,2014,101726,7.08,3133.39,10.07,36.92,0.0,8.0,11.53,8.05,2.2
Egypt,2015,108206,7.69,3306.98,10.37,34.85,0.0,6.9,11.59,8.1,2.07
Egypt,2016,115856,10.03,3270.63,13.81,30.25,0.0,3.3,11.66,8.09,1.46
Egypt,2017,105464,17.78,2395.1,29.51,42.83,0.0,8.6,11.57,7.78,2.26
Egypt,2018,105097,17.77,2484.7,14.4,45.91,0.0,12.7,11.56,7.82,2.62
Egypt,2019,111785,16.77,2962.99,9.15,41.12,0.0,14.3,11.62,7.99,2.73
Egypt,2020,45340,15.76,3511.11,5.04,32.13,51.2,4.9,10.72,8.16,1.77
Egypt,2021,57871,15.64,3827.35,5.21,29.86,45.4,8.9,10.97,8.25,2.29
Egypt,2022,99481,19.16,4233.31,13.9,36.98,21.3,12.2,11.51,8.35,2.58
Egypt,2023,135253,30.63,3456.79,33.88,40.45,0.0,14.1,11.81,8.15,2.71
Egypt,2024,135253,45.3,3338.47,28.27,39.6,0.0,15.3,11.81,8.11,2.79
Hungary,2014,123708,232.6,14352.5,-0.23,168.36,0.0,7.5,11.73,9.57,2.14
Hungary,2015,145492,279.33,12782.94,-0.06,167.29,0.0,6.9,11.89,9.46,2.07
Hungary,2016,137605,281.52,13215.86,0.39,163.97,0.0,7.5,11.83,9.49,2.14
Hungary,2017,158454,274.43,14736.17,2.35,165.03,0.0,8.4,11.97,9.6,2.24
Hungary,2018,183541,270.21,16605.06,2.85,162.7,0.0,9.6,12.12,9.72,2.36
Hungary,2019,213664,290.66,17012.86,3.34,159.93,0.0,10.2,12.27,9.74,2.42
Hungary,2020,106938,308.0,16386.93,3.33,154.53,48.9,4.2,11.58,9.7,1.65
Hungary,2021,130120,303.14,19030.63,5.11,159.19,52.4,4.2,11.78,9.85,1.65
Hungary,2022,243125,372.6,18428.03,14.61,185.0,22.1,5.7,12.4,9.82,1.9
